transaction_id,location_id,item_sku,item_name,qty,unit_price,discount,payment_type,employee_id,created_at_local,customer_phone
SQ-10778,STORE-02,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,cash,EMP-07,2026-08-16T16:47:00,555-6758
SQ-10778,STORE-02,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-07,2026-08-16T16:47:00,555-6758
SQ-10778,STORE-02,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,card,EMP-07,2026-08-16T16:47:00,555-6758
SQ-10779,STORE-01,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-02,2026-08-16T07:04:00,
SQ-10779,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,card,EMP-02,2026-08-16T07:04:00,
SQ-10779,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-02,2026-08-16T07:04:00,
SQ-10780,STORE-02,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-11,2026-08-16T17:48:00,
SQ-10781,STORE-01,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-02,2026-08-16T09:31:00,555-7482
SQ-10781,STORE-01,MR-12OZ,Medium Roast 12oz,2,15.5,0.0,card,EMP-02,2026-08-16T09:31:00,555-7482
SQ-10781,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,cash,EMP-02,2026-08-16T09:31:00,555-7482
SQ-10782,STORE-02,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-10,2026-08-16T17:20:00,
SQ-10782,STORE-02,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-10,2026-08-16T17:20:00,
SQ-10782,STORE-02,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-10,2026-08-16T17:20:00,
SQ-10783,STORE-02,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,cash,EMP-09,2026-08-16T11:33:00,555-2196
SQ-10783,STORE-02,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-09,2026-08-16T11:33:00,555-2196
SQ-10784,STORE-01,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-08,2026-08-16T14:40:00,555-2931
SQ-10785,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-11,2026-08-16T11:03:00,555-7482
SQ-10785,STORE-01,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-11,2026-08-16T11:03:00,555-7482
SQ-10785,STORE-01,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-11,2026-08-16T11:03:00,555-7482
SQ-10786,STORE-01,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-12,2026-08-16T12:55:00,
SQ-10787,STORE-01,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-03,2026-08-16T17:47:00,
SQ-10787,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,1.55,card,EMP-03,2026-08-16T17:47:00,
SQ-10787,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,card,EMP-03,2026-08-16T17:47:00,
SQ-10788,STORE-03,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-12,2026-08-16T11:10:00,
SQ-10789,STORE-01,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,cash,EMP-09,2026-08-16T18:48:00,555-9317
SQ-10790,STORE-03,LR-12OZ,Light Roast 12oz,2,15.0,1.5,card,EMP-10,2026-08-16T15:26:00,
SQ-10791,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-07,2026-08-16T13:55:00,555-3161
SQ-10791,STORE-03,GRINDER-01,Burr Grinder,2,42.0,4.2,card,EMP-07,2026-08-16T13:55:00,555-3161
SQ-10792,STORE-01,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-06,2026-08-16T17:54:00,555-2146
SQ-10793,STORE-03,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-06,2026-08-16T12:01:00,
