transaction_id,location_id,item_sku,item_name,qty,unit_price,discount,payment_type,employee_id,created_at_local,customer_phone
SQ-11098,STORE-02,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-10,2026-09-01T08:38:00,
SQ-11098,STORE-02,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-10,2026-09-01T08:38:00,
SQ-11099,STORE-02,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-11,2026-09-01T14:51:00,
SQ-11099,STORE-02,GRINDER-01,Burr Grinder,2,42.0,4.2,cash,EMP-11,2026-09-01T14:51:00,
SQ-11100,STORE-01,LR-12OZ,Light Roast 12oz,1,15.0,0.0,cash,EMP-11,2026-09-01T12:11:00,555-7482
SQ-11101,STORE-02,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-06,2026-09-01T08:03:00,
SQ-11101,STORE-02,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,cash,EMP-06,2026-09-01T08:03:00,
SQ-11101,STORE-02,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-06,2026-09-01T08:03:00,
SQ-11102,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,cash,EMP-08,2026-09-01T07:23:00,
SQ-11102,STORE-03,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-08,2026-09-01T07:23:00,
SQ-11103,STORE-02,DR-8OZ,Dark Roast 8oz,1,11.0,1.1,card,EMP-09,2026-09-01T15:29:00,
SQ-11103,STORE-02,MR-12OZ,Medium Roast 12oz,2,15.5,0.0,card,EMP-09,2026-09-01T15:29:00,
SQ-11103,STORE-02,MUG-CER,Ceramic Mug,1,12.0,1.2,card,EMP-09,2026-09-01T15:29:00,
SQ-11104,STORE-03,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-05,2026-09-01T11:07:00,555-5377
SQ-11104,STORE-03,MR-12OZ,Medium Roast 12oz,2,15.5,1.55,cash,EMP-05,2026-09-01T11:07:00,555-5377
SQ-11105,STORE-03,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-01,2026-09-01T11:05:00,
SQ-11105,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,cash,EMP-01,2026-09-01T11:05:00,
SQ-11105,STORE-03,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-01,2026-09-01T11:05:00,
SQ-11106,STORE-01,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,card,EMP-07,2026-09-01T17:50:00,555-6179
SQ-11107,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-08,2026-09-01T07:07:00,555-5865
SQ-11108,STORE-02,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-06,2026-09-01T09:01:00,
SQ-11108,STORE-02,LR-12OZ,Light Roast 12oz,1,15.0,0.0,card,EMP-06,2026-09-01T09:01:00,
SQ-11109,STORE-02,DRIPPER-01,Pour-Over Dripper,2,22.0,2.2,cash,EMP-01,2026-09-01T09:49:00,
SQ-11109,STORE-02,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-01,2026-09-01T09:49:00,
SQ-11109,STORE-02,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-01,2026-09-01T09:49:00,
SQ-11110,STORE-01,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-06,2026-09-01T11:56:00,
SQ-11110,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-06,2026-09-01T11:56:00,
SQ-11111,STORE-03,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,card,EMP-05,2026-09-01T13:57:00,
SQ-11112,STORE-02,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-10,2026-09-01T07:14:00,
SQ-11112,STORE-02,MUG-CER,Ceramic Mug,2,12.0,0.0,cash,EMP-10,2026-09-01T07:14:00,
